"ID";"CODE_COMMUNE";"COMMUNE_AR";"COMMUNE_FR"
2725;"95410919";ادا و مومن;Ida Ou Moumen
2726;"32710311";تيمحضيت;Timahdite
2727;"25330721";تنشرفي;Tancherfi
2728;"42910907";آيت مالك;Ait Malek
2729;"21670921";تفريست;Tafersit
2730;"74310701";اتوابت;Atouabet
2731;"35610709";أولاد ازباير;Oulad Zbair
2732;"85870923";امحاميد الغزلان;M'Hamid El Ghizlane
2733;"72110543";تهلوانت;Tahelouante
2734;"14051107";قلعة بوقرة;Kalaat Bouqorra
2735;"95410511";الكدية البيضاء;El Koudia El Beida
2736;"95410945";سيدي دحمان;Sidi Dahmane
2737;"72110307";كشولة;Kechoula
2738;"71910319";اولاد بوعلي الواد;Oulad Bouali Loued
2739;"50810501";أيت تكلا;Ait Taguella
2740;"44810103";احد كورت;Had Kourt
2741;"64610302";عين الضربان - لحلاف;Ain Dorbane-Lahlaf
2742;"74270905";الجعيدات;Jaidate
3013;"35310717";ارغيوة;Rghioua
3014;"123910901";العركوب;El Argoub
1849;"11510707";اسطيحة;Stehat
1850;"11510501";باب تازة;Bab Taza
1851;"102610103";كلميم;Guelmim
1852;"104210101";الرباط;RABAT
1853;"95410309";إيماون;Imaouen
1854;"64610927";سيدي محمد بن رحال;Sidi Mohammed Ben Rahal
1855;"70411127";الثوامة;Touama
1856;"53110711";المعادنة;Maadna
1857;"35310321";تافرانت;Tafrant
1858;"11510701";بني بوزرة;Bni Bouzra
1859;"31310707";أولاد علي يوسف;Oulad Ali Youssef
1860;"22750321";تيولي;Tiouli
1861;"70410707";إجوكاك;Ijoukak
1862;"84010109";تازناخت;Taznakht
1863;"50811503";أيت ماجدن;Ait Majden
1864;"31310309";انجيل;Enjil
1865;"61170807";جاقمة;Jaqma
1866;"83630515";بومية;Boumia
1867;"35611101";بني افتح;Bni Ftah
1868;"84010315";تلوات;Telouet
1869;"83630523";تنوردي;Tanourdi
1870;"21130519";زكزل;Zegzel
1871;"85770521";امسمرير;M'Semrir
1872;"42810703";بني مالك;Beni Malek
1873;"95410421";ادا وكماض;Ida Ougoummad
1874;"72110541";تفضنة;Tafedna
1875;"70410903";أوكايمدن;Oukaimden
1876;"63850305";اولاد صالح;Oulad Salah
1877;"85770525";سوق الخميس دادس;Souk Lakhmis Dades
1878;"95410469";توغمرت;Toughmart
2203;"95410737";أوزيوة;Ouzioua
2204;"42910911";مقام الطلبة;M'qam Tolba
2205;"61170820";اولاد زيان;Oulad Ziyane
2206;"44910511";أولاد بن حمادي;Ouled Ben Hammadi
2207;"10510721";سيدي بوزينب;Sidi Bouzineb
2208;"91410171";مولاي رشيد;ARRONDISSEMENTS DE MOULAY RACHID
2209;"22510501";عبو لكحل;Abbou Lakhal
2210;"35310707";بوعادل;Bouadel
2211;"35611107";كاف الغار;Kaf El Ghar
2212;"95410413";الفيض;El Faid
2213;"95410905";آيت مخلوف;Ait Makhlouf
2214;"35310711";فناسةباب الحيط;Fennassa Bab El Hit
2215;"102610713";لقصابي تكوست;Laqsabi Tagoust
2216;"95410102";أولوز;Aoulouz
2217;"70410905";أوريكة;Ourika
2218;"10510105";امزورن;Imzouren
2219;"44910513";أولاد احسين;Ouled Hcein
2220;"35910101";مولاي يعقوب;Moulay Yacoub
2221;"95410705";أسكاون;Askaouen
2222;"44410108";سيدي أبي القناديل;Sidi Bouknadel
2223;"72110549";تدزي;Tidzi
2224;"83631509";اوتربات;Outerbat
2225;"34510709";العنوصر;Laanoussar
2226;"70411107";ايت حكيم - ايت ازيد;Ait Hkim-Ait Yzid
2227;"45010101";عين العودة;Ain El Aouda
2228;"35611309";مكناسةالشرقية;Meknassa Acharqia
2229;"11510909";بني رزين;Bni Rzine
2230;"44810705";الخنيشات;Khnichet
2231;"53010521";سيدي عمرو;Sidi Amar
2232;"30610109";مولاي إدريس  زرهون;Moulay Driss Zerhoun
2581;"21130101";أحفير;Ahfir
2582;"31310307";المرس;El Mers
2583;"74270701";أيت حمو;Ait Hammou
2584;"75850517";سيدي شيكر;Sidi Chiker
2585;"72110109";تمنار;Tamanar
2586;"82011302";أملاكو;Amellagou
2587;"85770211";حصيا;H'Ssyia
2588;"91630335";تاركا نتوشكا;Targua Ntouchka
2589;"44810901";باب  تيوكا;Bab Tiouka
2590;"10510519";النكور;Nekkour
2591;"31710503";ايت حرز الله;Ait Harz Allah
2592;"72110345";سيدي امحمد أو مرزوق;Sidi M'Hamed Ou Marzouq
2593;"85870341";تازارين;Tazarine
2594;"10510505";اربعاءتاوريرت;Arbaa Taourirt
2595;"61810505";أولاد غانم;Ouled Ghanem
2596;"14050901";عين بيضاء;Ain Beida
2597;"34510109";صفرو;Sefrou
2598;"63710101";المحمدية;Mohammadia
2599;"72110101";آيت داوود;Ait Daoud
2600;"30610709";وليلي;Oualili
2661;"52551101";دار ولد زيدوح;Dar Ould Zidouh
2662;"84010703";ادلسان;Idelsane
2663;"64671101";الغنادرة;Laghnadra
2664;"30610711";سيدي عبد الله الخياط;Sidi Abdallah Al Khayat
2665;"82010105";الرشيدية;Errachidia
2666;"91630723";واد الصفاء;Ouad Essafa
2667;"1410111";الفداء مرس السلطان;ARRONDISSEMENTS D'EL FIDA - MERS SULTAN
2668;"61810909";اولاد حمدان;Oulad Hamdane
2669;"95510505";الوكوم;Allougoum
2670;"61170823";رياح;Riah
2803;"83630911";سيدي عياد;Sidi Aayad
2804;"95810107";تيزنيت;Tiznit
2805;"61110313";اولاد علي الطوالع;Oulad Ali Toualaa
2806;"30610509";سيدي سليمان مول الكيفان;Sidi Slimane Moul Al Kifane
2807;"50811305";أيت  أو مديس;Ait Oumdis
2808;"42810507";المناصرة;Mnasra
2809;"52550909";اهل مربع;Hel Merbaa
2810;"104730509";أسبويا;Sbouya
2811;"24110119";النعيمة;Naima
2812;"95410723";تبقال;Toubkal
2813;"42910307";أيت يدين;Ait Yadine
2814;"95410717";تاويالت;Taouyalte
2815;"32710307";سيدي المخفي;Sidi El Makhfi
2816;"50811513";واولى;Ouaoula
2817;"22510507";تندرارة;Tendrara
2818;"30610107";تولال;Toulal
2819;"73510707";سعادة;Saada
2820;"85870307";ايت ولال;Ait Ouallal
2821;"50910711";ناوور;Naour
2822;"34510105";ايموزار كندر;Imouzzer Kandar
2823;"70410713";ثلاث نيعقوب;Talat N'Yaaqoub
2824;"64670719";لعونات;Laaounate
2825;"22510313";عين الشعير;Ain Chair
2826;"21130125";السعيدية;Saidia
2827;"53010307";كروشن;Kerrouchen
2828;"72110509";اسايس;Assais
2829;"74310305";لبخاتي;Labkhati
2830;"22650507";لمريجة;Lamrija
2831;"15710309";جبل لحبيب;Jbel Lahbib
2832;"50910715";تانوغة;Tanougha
3015;"63550301";المجاطية أولاد الطالب;Al Majjatia Oulad Taleb
3016;"53010313";تيغسالين;Tighassaline
3017;"71610903";بوابوض  أمدلان;Bouabout Amdlane
3018;"10510515";ازمورن;Izemmouren
3019;"35610911";تازارين;Tazarine
3020;"53110509";الفقراء;El Foqra
3021;"91630111";بيوكرى;Biougra
3022;"64610915";امزورة;Mzoura
3023;"11510101";شفشاون;Chefchaouen
3024;"95410527";سيدي بوموسى;Sidi Boumoussa
1533;"14050905";ابريكشة;Brikcha
1544;"35310105";تاونات;Taounate
1545;"84010705";امي نولاون;Imi N'Oulaoune
1546;"50810309";تبانت;Tabant
1547;"42810105";مهدية;Mehdya
1548;"42810313";سيدي الطيبي;Sidi Taibi
1549;"71910339";توزينت;Taouzint
1550;"71910335";سيدي الحطاب;Sidi El Hattab
1551;"71610711";مجاط;Majjat
1552;"11510503";بني دركول;Bni Darkoul
1553;"95410505";اصادص;Assads
1554;"61810923";زاوية لقواسم;Zaouiat Lakouacem
1555;"44810105";جرف الملحة;Jorf El Melha (Mun.)
1556;"95810305";أربعاء أيت أحمد;Arbaa Ait Ahmed
1557;"95410317";سيدي بوعل;Sidi Boaal
1558;"95811107";المعدرالكبير;El Maader El Kabir
1559;"102610707";الشاطئ الأبيض;Echatea El Abied
1560;"35310303";كلاز;Galaz
1631;"35910301";عين الشقف;Ain Chkef
1632;"35611307";كلدمان;Galdamane
1633;"30610507";واد الجديدة;Oued Jdida
1634;"21670309";امطالسة;Mtalssa
1635;"84010107";ورزازات;Ouarzazate
1636;"72110349";تكاط;Takate
1637;"95410927";إيمولاس;Imoulass
1638;"64610327";السكامنة;Sgamna
1639;"53010525";سيدي لامين;Sidi Lamine
1640;"34510503";أيت  السبع لجرف;Ait Sebaa Lajrouf
1661;"15110101";أصيلة;Assilah
1662;"71610303";أيت هاني;Ait Hadi
1513;"82010301";اعرب صباح اغريس;Aarab Sebbah Gheris
1514;"34510309";إغزران;Ighzrane
1515;"31310501";القصابي-ملوية;Ksabi Moulouya
1516;"95510705";أم الكردان;Oum El Guerdane
1517;"13311112";السواكن;Souaken
1518;"31310105";اوطاط الحاج;Outat El Haj
1519;"35611305";بني لنث;Bni Lent
1520;"22650515";صاكة;Saka
1521;"71610907";كوزمت;Kouzemt
1522;"91630339";تيزي نتكوشت;Tizi Ntakoucht
1523;"64610323";أولاد امحمد;Oulad M'Hamed
1524;"13310903";بني عروس;Bni Arouss
1525;"64671107";اولاد سبيطة;Oulad Sbaita
1526;"74270703";أيت الطالب;Ait Taleb
1527;"15110305";سبت الزينات;Sebt Azzinate
1528;"71610713";امزوضة;M'Zouda
1529;"35611303";باب مرزوقة;Bab Marzouka
1530;"44810905";اشبانات;Chbanate
1531;"70410323";تيدلي مسفيوة;Tidili Mesfioua
1532;"35310907";بوعروس;Bouarouss
1534;"74310901";ايير;Ayir
1535;"72110333";سيدي عبد الجليل;Sidi Abdeljalil
1536;"71610705";ادويران;Douirane
1537;"82011307";اغريس العلوي;Gheris El Ouloui
1538;"64670717";لعامرية;Laamria
1539;"61110315";اولاد يحيى لوطا;Oulad Yahya Louta
1540;"85870339";تانسيفت;Tansifte
1541;"113210303";الدشيرة;Dcheira
1542;"95410915";افريجة;Freija
1543;"35310903";عين لكدح;Ain Legdah
1727;"42810111";سوق الاربعاء;Souk El Arbaa
1728;"50811307";أيت تمليل;Ait Tamlil
1729;"61170105";الدروة;Deroua
1730;"83630719";ميبلادن;Mibladen
1731;"35610711";الربع الفوقي;Rbaa El Fouki
1732;"35310305";كيسان;Kissane
1733;"90010705";أقصري;Aqesri
1734;"74270721";سيدي منصور;Sidi Mansour
1735;"44910505";دار بلعامري;Dar Bel Amri
1736;"12270321";تغرامت;Taghramt
1737;"71610905";إشمرارن;Ichamraren
1738;"104730513";تيوغزة;Tioughza
1739;"52550901";خلفية;Khalfia
1740;"84010307";اغرم نوكدال;Ighrem N'Ougdal
1741;"64670727";امطل;M'Tal
1742;"21130513";رسلان;Rislane
1743;"95410507";بيكودين;Bigoudine
1744;"15710319";سوق القديم;Souk Kdim
1745;"11510323";تمروت;Tamorot
1746;"35611315";مغراوة;Maghraoua
1747;"53110717";أولاد فنان;Oulad Fennane
1748;"45010103";الهرهورة;Harhoura
1749;"61110311";موالين الواد;Moualine El Oued
1750;"44810317";سيدي عزوز;Sidi Azzouz
1751;"21130301";أغبال;Aghbal
1754;"50910305";اولاد امبارك;Ouled M'Barek
1755;"64670725";مطران;Metrane
1756;"42910903";أيت بلقاسم;Ait Belkacem
1757;"53110303";بني بتاو;Bni Bataou
1758;"72110305";حد الدرا;Had Dra
2173;"63550105";تيط مليل;Tit Mellil
2174;"95410111";تالوين;Taliouine
2175;"100710305";تويزكي;Touizgui
2176;"74270719";سيدي غانم;Sidi Ghanem
2177;"82011105";السفلات;Es-sfalat
2178;"44810707";لمرابيح;Lamrabih
2179;"95510707";تكموت;Tagmout
2180;"31710101";اكوراي;Agourai
2181;"104730701";أيت الرخا;Ait Erkha
2182;"24110303";عين الصفا;Ain Sfa
2183;"25330305";العاطف;El Atef
2184;"64671103";الغربية;Lgharbia
2185;"95510501";أكينان;Aguinane
2186;"72110547";تاركانت;Targante
2187;"73510207";واحة سيدي ابراهيم;Ouahat Sidi Brahim
2188;"52550511";سيدي عيسى بن علي;Sidi Aissa Ben Ali
2189;"72110517";ايدا وعزا;Ida Ou Aazza
2190;"23810517";إيكسان;Iksane
2191;"42910513";تيداس;Tiddas
2192;"85870303";افرا;Afra
2193;"73510201";الويدان;Alouidane
2194;"42910303";أيت  اوريبل;Ait Ouribel
2195;"91630519";إنشادن;Inchaden
2196;"23810707";بني وكيل اولاد محاند;Bni Oukil Oulad M'Hand
2197;"61110505";شراط;Charrate
2198;"14050719";ازغيرة;Zghira
2199;"53110309";الشكران;chougrane
2200;"64670721";لعطاطرة;Laatatra
2201;"15710507";أزلا;Azla
2202;"23810501";بني بويفرور;Bni Bouifrour
2773;"105210505";الشبيكة;Chbika
2774;"84010317";تيدلي;Tidli
2775;"71610701";أداسيل;Adassil
2776;"32710101";أزرو;Azrou
2777;"95810901";افلااغير;Afella Ighir
2778;"14050705";مصمودة;Masmouda
2779;"15110109";اكزناية ;Gueznaia
2780;"95410715";سيدي احساين;Sidi Hsaine
2781;"95410313";النحيت;Nihit
2782;"84010301";أيت  زينب;Ait Zineb
2783;"42910317";سيدي الغندور;Sidi El Ghandour
2784;"102610521";تكليت;Tiglit
2785;"95410523";مشرع العين;Machraa El Ain
2786;"72110535";سيدي احمد أوحامد;Sidi Hmad Ou Hamed
2787;"91410131";الحي الحسني;ARRONDISSEMENTS DE HAY HASSANI
2788;"53110707";قصبة الطرش;Kasbat Troch
2789;"104730101";الاخصاص;Lakhsas
2790;"95410321";تابيا;Tabia
2791;"95510307";تزونين;Tizounine
2792;"71610709";إمندونيت;Imindounit
2793;"35310313";سيدي الحاج امحمد;Sidi Haj M'hamed
2794;"73510209";اولاد حسون;Oulad Hassoune
2795;"71610509";للاعزيزة;Lalla Aaziza
2796;"74270717";سيدي علي لبراحلة;Sidi Ali Labrahla
2797;"72110527";سيدي أحمد السايح;Sidi Ahmed Essayeh
2798;"95410305";أملو;Amalou
2799;"15710111";تطوان;Tétouan
2800;"72110539";سميمو;Smimou
2801;"42810701";عرباوة;Arbaoua
2802;"21130105";عين الركادة;Ain Erreggada
1939;"15710501";الحمراء;Al Hamra
1940;"73510711";السويهلة;Souihla
1941;"14050717";تروال;Teroual
1942;"91630521";ماسة;Massa
1943;"90010729";تقي;Tiqqi
1944;"64610319";أولاد شبانة;Oulad Chbana
1945;"72110523";إمكراد;Imgrade
1946;"35611113";تيناست;Tainaste
1947;"70410505";أنكال;Anougal
1948;"35310705";بني ونجل تافراوت;Bni Ounjel Tafraout
1949;"53010311";سيدي يحيى او ساعد;Sidi Yahya Ou Saad
1950;"105210301";لمسيد;Msied
1951;"72110339";سيدي بولعلام;Sidi Boulaalam
1952;"105210503";بن خليل;Ben Khlil
1953;"10510507";بني عبد الله;Bni Abdallah
1954;"35310109";تيسة;Tissa
1955;"71610305";لمزوضية;Lamzoudia
1956;"72110103";الحنشان;El Hanchane
1957;"25330317";سيدي علي بلقاسم;Sidi Ali Bel Quassem
1958;"42910709";جمعة مول البلاد;Jemaat Moul Blad
1959;"74270117";سيدي بوعثمان;Sidi Bou Othmane
1960;"74270913";راس عين الرحامنة;Ras Ain Rhamna
1961;"90010713";إيموزار;Imouzzer
1962;"10510101";الحسيمة;Al Hoceima
1963;"44910107";سيدي سليمان;Sidi Slimane
1964;"85870729";تافتشنا;Taftechna
1965;"61170817";لمباركيين;Lambarkiyine
1966;"95410501";أهل الرمل;Ahl Ramel
1967;"23810507";بني سيدال لوطا;Bni Sidel Louta
1968;"95410713";إكيدي;Iguidi
2450;"64610325";راس العين الشاوية;Ras El Ain Chaouia
2459;"64610921";أولاد الصغير;Oulad Sghir
2521;"22510103";فجيج;Figuig
2522;"15710517";دار بني قريش;Dar Bni Karrich
2523;"61810901";بولعوان;Boulaouane
2524;"83631501";ايت يحيى;Ait Yahya
2525;"71910811";الهيادنة;Hiadna
2526;"61110303";عين تيزغة;Ain Tizgha
2527;"42810705";قرية بن عودة;Kariat Ben Aouda
2528;"53110313";الرواشد;Rouached
2529;"22750513";أولاد غزييل;Oulad Ghziyel
2530;"21670103";بن الطيب;Ben Taieb
2531;"64610701";عين بلال;Ain Blal
2532;"95810315";تيزغران;Tizoughrane
2533;"11510615";المنصورة;Mansoura
2534;"30610503";مجاط;Majjate
2535;"42810707";وادي المخازن;Oued El Makhazine
2536;"74310313";سيدي عيسى;Sidi Aissa
2537;"72110351";زاوية بن احميدة;Zaouiat Ben Hmida
2538;"42810909";سيدي علال التازي;Sidi Allal Tazi
2539;"31310503";ويزغت;Ouizeght
2540;"35310515";مولاي بوشتى;Moulay Bouchta
2601;"95410425";ايكودار امنابها;Igoudar Mnabha
2602;"35610305";اكزنايةالجنوبية;Gzenaya Al Janoubia
2603;"53010505";البرج;El Borj
2604;"21670927";اتروكوت;Trougout
2605;"72110505";أكرض;Aguerd
2606;"95510507";إبن يعقوب;Ibn Yacoub
2607;"71610307";اولاد مومنة;Oulad Moumna
2608;"95510709";تكزميرت;Tigzmerte
2441;"74270919";الطلوح;Tlauh
2442;"75850713";لخوالقة;Lakhoualqa
2443;"71610507";اروهالن;Irohalen
2444;"22650709";مزكيتام;Mazguitam
2445;"61110103";بوزنيقة;Bouznika
2446;"25330713";مستكمر;Mestegmer
2447;"74270911";اولاد املول;Oulad Imloul
2448;"35310513";مولاي عبدالكريم;Moulay Abdelkrim
2449;"84010707";سكورة اهل الوسط;Skoura Ahl El Oust
2451;"95810303";أنزي;Anzi
2452;"13310705";العوامرة;Laouamra
2453;"45010303";ام عزة;Oumazza
2454;"83630905";كرس تعلالين;Guers Tiaallaline
2455;"82011313";تاذيغوست;Tadighoust
2456;"15710513";بني ليت;Bni Leit
2457;"11510513";لغدير;Laghdir
2458;"64670735";تامدة;Tamda
2460;"44810315";سيدي اعمر الحاضي;Sidi Ameur Al Hadi
2482;"95410721";تزكزاوين;Tizgzaouine
2485;"13310905";بني كرفط;Bni Garfett
2488;"72110317";مسكالة;Meskala
2621;"30610302";عين كرمة-واد الرمان;Ain Karma- Oued Rommane
2622;"53010719";سبت آيت رحو;Sebt Ait Rahou
2623;"50811105";أيت  وعرضى;Ait Ouaarda
2624;"85770727";تغزوت نايت عطى;Taghzoute N'Ait Atta
2625;"64610703";بني خلوك;Bni Khloug
2626;"71910301";الشطيبة;Chtaiba
2627;"53110513";أولاد عبدون;Oulad Abdoune
2628;"32318103";عين البيضاء;Ain Bida
2629;"15710525";زاوية سيدي قاسم;Zaouiat Sidi Kacem
1819;"32710305";واد يفرن;Oued Ifrane
1820;"44810309";مولاي عبد القادر;Moulay Abdelkader
1821;"21670929";اتسافت;Tsaft
1822;"50910103";القصيبة;El Ksiba
1823;"115370507";الطاح;Tah
1824;"70410309";أيت  سيدي داود;Ait Sidi Daoud
1825;"35610307";اجبارنة;Jbarna
1826;"100710501";المحبس;Al Mahbass
1827;"113210101";المرسى;El Marsa
1828;"82011305";فركلة السفلى;Ferkla Es-soufla
1829;"32710301";عين اللوح;Ain Leuh
1830;"71610505";أيت حدو يوسف;Ait Haddou Youssef
1831;"61810103";الجديدة;El Jadida
1832;"64670729";اولاد عمران;Oulad Amrane
1833;"71910831";اولاد يعكوب;Oulad Yaacoub
1834;"95410943";سيدي بورجا;Sidi Borja
1835;"74310909";مول البركي;Moul El Bergui
1836;"90010509";الدراركة;Drargua
1837;"95810317";اثنين أداي;Tnine Aday
1838;"112210303";حوزة;Haouza
1839;"95510305";تمنارت;Tamanarte
1840;"31310703";الرميلة;Ermila
1841;"71910327";اولاد امسبل;Oulad Msabbel
1842;"30610105";بوفكران;Boufakrane
1843;"10510525";زاوية سيدي عبد القادر;Zaouiat Sidi Abdelkader
1844;"1410151";سيدي البرنوصي;ARRONDISSEMENTS DE SIDI BERNOUSSI
1845;"92730113";الدشيرة الجهادية;Dcheira El Jihadia
1846;"71910617";الواد لخضر;Louad Lakhdar
1847;"71910105";العطاوية;Laattaouia
1848;"64610317";واد النعناع;Oued Naanaa
